Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,HDPE-1,3.3,12.83,100,25.4,,,,,,,,
2,HDPE-5,3.3,12.83,83.44,127,,,,,,,,
3,HDPE-20,3.3,12.73,91.19,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,10.413,4.3799,1.0265,,,4.477,9.3647,0.8339,,,2.137,17.6676,0.5768
,10.513,4.4217,1.0287,,,4.502,9.4174,0.8137,,,2.139,17.6845,0.54
,10.613,4.465,1.0316,,,4.528,9.4724,0.7933,,,2.141,17.7015,0.5013
,10.713,4.5064,1.0337,,,4.548,9.5149,0.7728,,,2.143,17.7184,0.4616
,10.813,4.5495,1.0362,,,4.562,9.5448,0.7515,,,2.145,17.7354,0.4217
,10.913,4.5913,1.0378,,,4.576,9.5746,0.7308,,,2.147,17.7523,0.3821
,11.013,4.6334,1.0399,,,4.593,9.6106,0.7108,,,2.149,17.7693,0.3435
,11.113,4.6756,1.042,,,4.619,9.6655,0.6902,,,2.151,17.7862,0.3061
,11.213,4.718,1.0442,,,4.656,9.7435,0.6697,,,2.153,17.8032,0.2704
,11.313,4.7611,1.0469,,,4.698,9.8325,0.6494,,,2.155,17.8202,0.2366
,11.413,4.8032,1.0487,,,4.744,9.93,0.6292,,,2.157,17.8371,0.2048
,11.513,4.8459,1.0506,,,4.792,10.031,0.6088,,,2.159,17.8541,0.1752
,11.613,4.8877,1.052,,,4.843,10.1395,0.5887,,,2.161,17.871,0.1479
,11.713,4.93,1.054,,,4.897,10.2538,0.5687,,,2.163,17.888,0.1228
,11.813,4.9724,1.0561,,,4.957,10.3807,0.5487,,,2.165,17.9049,0.1001
,11.913,5.0143,1.0579,,,5.022,10.5183,0.5286,,,2.167,17.9219,0.0796
,12.013,5.0572,1.0597,,,5.096,10.6749,0.5085,,,2.17,17.9473,0.0528
,12.113,5.099,1.0608,,,5.176,10.8444,0.4885,,,2.173,17.9727,0.0306
,12.213,5.1422,1.0629,,,5.269,11.0412,0.4683,,,2.177,18.0066,0.0075
,12.313,5.1839,1.0643,,,5.369,11.2527,0.45,,,2.183,18.0574,-0.0153
,12.413,5.2265,1.0663,,,5.469,11.4646,0.4333,,,2.283,18.9035,-0.0006
,12.513,5.2686,1.0679,,,5.569,11.676,0.4185,,,2.383,19.7503,-0.0019
,12.613,5.3106,1.0691,,,5.669,11.8879,0.4053,,,2.483,20.5971,-0.0014
,12.713,5.3537,1.0707,,,5.769,12.0997,0.3928,,,2.583,21.4436,-0.0015
