Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,pc-1,3.1,12.75,93.95,25.4,,,,,,,,
2,pc-5,3.07,12.75,91.95,127,,,,,,,,
3,pc-20,3.07,12.7,89.1,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,4.852,2.0284,1.5849,,,1.088,2.1927,1.6417,,,0.31,2.197,1.7546
,4.934,2.0627,1.605,,,1.105,2.2289,1.6619,,,0.315,2.2392,1.7787
,5.015,2.0966,1.625,,,1.122,2.265,1.682,,,0.32,2.2815,1.8024
,5.097,2.1322,1.6452,,,1.14,2.303,1.703,,,0.325,2.3238,1.8258
,5.186,2.1688,1.6654,,,1.158,2.341,1.7236,,,0.33,2.3662,1.8489
,5.269,2.2044,1.6854,,,1.176,2.3791,1.744,,,0.335,2.4086,1.8717
,5.355,2.2408,1.7054,,,1.194,2.4173,1.7642,,,0.34,2.4511,1.8942
,5.442,2.2774,1.7256,,,1.213,2.4575,1.785,,,0.345,2.4935,1.9163
,5.529,2.3151,1.7457,,,1.232,2.4977,1.8059,,,0.35,2.536,1.938
,5.623,2.3541,1.7659,,,1.251,2.5379,1.8262,,,0.355,2.5785,1.9593
,5.715,2.393,1.7861,,,1.271,2.5802,1.8472,,,0.36,2.6211,1.9802
,5.806,2.4319,1.8062,,,1.29,2.6203,1.8672,,,0.365,2.6636,2.0007
,5.903,2.4724,1.8262,,,1.31,2.6625,1.8876,,,0.37,2.7061,2.0209
,5.997,2.5129,1.8464,,,1.33,2.705,1.9078,,,0.376,2.7571,2.0447
,6.096,2.5544,1.8666,,,1.35,2.7474,1.9279,,,0.382,2.8081,2.0681
,6.196,2.5971,1.8867,,,1.371,2.792,1.9484,,,0.388,2.859,2.091
,6.296,2.6393,1.9068,,,1.392,2.8364,1.9687,,,0.394,2.9099,2.1133
,6.396,2.6813,1.9257,,,1.414,2.8829,1.9894,,,0.4,2.9608,2.1351
,6.496,2.7239,1.9451,,,1.436,2.9295,2.01,,,0.406,3.0116,2.1563
,6.596,2.7655,1.9633,,,1.458,2.9762,2.03,,,0.412,3.0624,2.1771
,6.696,2.809,1.9824,,,1.481,3.0249,2.0504,,,0.418,3.1131,2.1975
,6.796,2.8507,2.0003,,,1.504,3.0736,2.0705,,,0.425,3.1724,2.2206
,6.896,2.8938,2.018,,,1.528,3.1242,2.0908,,,0.432,3.2316,2.2431
,6.996,2.9355,2.0351,,,1.552,3.1748,2.1111,,,0.439,3.2909,2.2649
,7.096,2.9778,2.052,,,1.577,3.2275,2.1313,,,0.446,3.3502,2.286
,7.196,3.0201,2.0686,,,1.602,3.2806,2.1516,,,0.453,3.4094,2.3066
,7.296,3.062,2.0845,,,1.628,3.336,2.1719,,,0.46,3.4687,2.3266
,7.396,3.1049,2.1006,,,1.654,3.3913,2.1921,,,0.468,3.5364,2.3488
,7.496,3.1468,2.1166,,,1.682,3.4504,2.2125,,,0.476,3.604,2.3701
,7.596,3.19,2.132,,,1.71,3.5095,2.2327,,,0.484,3.6717,2.3906
,7.696,3.232,2.1468,,,1.739,3.571,2.2529,,,0.493,3.7477,2.4129
,7.796,3.2745,2.1616,,,1.769,3.6344,2.2735,,,0.502,3.8238,2.4344
,7.896,3.3164,2.1757,,,1.8,3.6997,2.2939,,,0.511,3.8999,2.4552
,7.996,3.3584,2.1898,,,1.832,3.7672,2.3143,,,0.521,3.9846,2.4772
,8.096,3.4013,2.2036,,,1.864,3.8349,2.3347,,,0.531,4.0693,2.4982
,8.196,3.4432,2.2169,,,1.898,3.9073,2.355,,,0.541,4.1541,2.5183
,8.296,3.4864,2.2304,,,1.932,3.9797,2.3751,,,0.552,4.2474,2.5396
,8.396,3.528,2.2429,,,1.968,4.0559,2.3953,,,0.564,4.3491,2.5613
,8.496,3.5709,2.2561,,,2.007,4.1383,2.4156,,,0.576,4.4508,2.5817
,8.596,3.6127,2.2677,,,2.046,4.2209,2.4357,,,0.589,4.5609,2.6023
,8.696,3.655,2.2801,,,2.088,4.3096,2.4561,,,0.603,4.6794,2.6227
,8.796,3.6975,2.2918,,,2.131,4.4001,2.4764,,,0.619,4.8148,2.6439
,8.896,3.7392,2.3032,,,2.176,4.4954,2.4967,,,0.636,4.9585,2.6644
,8.996,3.7825,2.315,,,2.224,4.5974,2.5168,,,0.655,5.119,2.6846
,9.096,3.8243,2.3254,,,2.275,4.7056,2.5368,,,0.678,5.3136,2.7053
,9.196,3.8675,2.3371,,,2.33,4.8221,2.5571,,,0.707,5.5594,2.7255
,9.296,3.909,2.3467,,,2.392,4.9526,2.5773,,,0.756,5.9747,2.7456
,9.396,3.9517,2.3573,,,2.458,5.0924,2.5975,,,0.856,6.8213,2.7385
,9.496,3.994,2.3677,,,2.531,5.2472,2.6176,,,0.899,7.1856,2.718
,9.596,4.036,2.3768,,,2.618,5.432,2.6376,,,0.929,7.4395,2.698
,9.696,4.0788,2.3869,,,2.718,5.6427,2.6562,,,0.953,7.6425,2.6779
,9.796,4.1203,2.3956,,,2.818,5.8544,2.6705,,,0.973,7.8117,2.657
,9.896,4.1636,2.4051,,,2.918,6.0666,2.6799,,,0.988,7.9386,2.6358
,9.996,4.2053,2.4137,,,3.018,6.2779,2.6851,,,0.999,8.0318,2.6136
,10.096,4.2482,2.4225,,,3.118,6.4897,2.6862,,,1.006,8.0911,2.5935
