Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,LDPE-1,3.25,14.73,90.8,25.4,,,,,,,,
2,LDPE-5,3.25,14.73,87.88,127,,,,,,,,
3,LDPE-20,3.25,14.73,82.35,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,0,0,-0.0088,,,0,0,-0.0072,,,0,0,-0.0055
,10.1,4.2478,0.3766,,,9.628,20.2662,0.4987,,,8.286,69.7315,0.4147
,10.2,4.2906,0.3783,,,9.728,20.4779,0.4979,,,8.386,70.5779,0.4147
,10.3,4.3324,0.3795,,,9.828,20.6901,0.4975,,,8.486,71.4247,0.4151
,10.4,4.3744,0.3815,,,9.928,20.9012,0.4967,,,8.586,72.2714,0.4144
,10.5,4.4172,0.3827,,,10.028,21.1131,0.4962,,,8.686,73.1179,0.4118
,10.6,4.4591,0.3844,,,10.128,21.3249,0.4955,,,8.786,73.9648,0.3967
,10.7,4.5024,0.3858,,,10.228,21.5363,0.4951,,,8.805,74.1256,0.3751
,10.8,4.5439,0.3872,,,10.328,21.7481,0.4945,,,8.813,74.1934,0.3525
,10.9,4.587,0.3891,,,10.428,21.9598,0.4937,,,8.819,74.2442,0.3281
,11,4.6287,0.39,,,10.528,22.1714,0.4934,,,8.823,74.2781,0.3051
,11.1,4.671,0.3918,,,10.628,22.3835,0.4928,,,8.826,74.3035,0.2818
,11.2,4.7133,0.3927,,,10.728,22.5943,0.4922,,,8.829,74.3289,0.255
,11.3,4.7553,0.3944,,,10.828,22.8063,0.4917,,,8.832,74.3543,0.2266
,11.4,4.7982,0.3957,,,10.928,23.0185,0.4913,,,8.835,74.3797,0.1977
,11.5,4.8402,0.3968,,,11.028,23.2296,0.4909,,,8.838,74.4051,0.1694
,11.6,4.8833,0.3985,,,11.128,23.4408,0.4904,,,8.841,74.4305,0.1425
,11.7,4.9248,0.3996,,,11.228,23.6535,0.4898,,,8.844,74.4559,0.1173
,11.8,4.9677,0.4012,,,11.328,23.8649,0.4894,,,8.847,74.4813,0.0945
