Results Table 1,,,,,,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,,,,,,
1,PMMA-RT-.1,3.43,12.57,91.44,2.54,,,,,,,,,,,,,
2,PMMA-RT-1.0,3.28,12.45,91.01,25.4,,,,,,,,,,,,,
3,PMMA-50-.1,3.28,12.6,92.71,2.54,,,,,,,,,,,,,
4,PMMA-50-1.0,3.2,12.62,87.86,25.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force,,4,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,5.6,0.2315,0.3243,,,2.243,0.9244,1.1691,,,5.6,0.2321,-0.0754,,,3.468,1.4423,0.8656
,5.7,0.2362,0.3297,,,2.288,0.9433,1.1893,,,5.7,0.2368,-0.0721,,,3.547,1.4755,0.8857
,5.8,0.24,0.3337,,,2.333,0.9621,1.2094,,,5.8,0.2404,-0.0686,,,3.621,1.5077,0.9057
,5.9,0.2444,0.3387,,,2.379,0.9814,1.2299,,,5.9,0.2454,-0.064,,,3.704,1.5425,0.926
,6,0.2483,0.3429,,,2.421,1,1.2502,,,6,0.2492,-0.0608,,,3.784,1.5758,0.946
,6.1,0.2527,0.3478,,,2.467,1.0193,1.2704,,,6.1,0.2538,-0.0572,,,3.864,1.6106,0.9662
,6.2,0.2568,0.3522,,,2.514,1.0389,1.2908,,,6.2,0.2572,-0.0545,,,3.946,1.6447,0.9862
,6.3,0.2611,0.3573,,,2.561,1.0586,1.311,,,6.3,0.2621,-0.0497,,,4.032,1.6809,1.0063
,6.4,0.2655,0.3623,,,2.607,1.0779,1.3312,,,6.4,0.2656,-0.0468,,,4.115,1.7162,1.0264
,6.5,0.2698,0.3668,,,2.649,1.0966,1.3512,,,6.5,0.2705,-0.0424,,,4.201,1.7525,1.0465
,6.6,0.274,0.3716,,,2.697,1.1168,1.3716,,,6.6,0.2742,-0.0394,,,4.29,1.791,1.0666
,6.7,0.2781,0.3761,,,2.743,1.1358,1.3917,,,6.7,0.2793,-0.0347,,,4.382,1.8294,1.0867
,6.8,0.2825,0.3812,,,2.79,1.1556,1.4117,,,6.8,0.2828,-0.0316,,,4.472,1.8674,1.1069
,6.9,0.2865,0.3857,,,2.837,1.1754,1.4318,,,6.9,0.2875,-0.0276,,,4.564,1.9066,1.127
