Results Table 1,,,,,,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,,,,,,
1,PMMA-RT-.1,3.43,12.57,91.44,2.54,,,,,,,,,,,,,
2,PMMA-RT-1.0,3.28,12.45,91.01,25.4,,,,,,,,,,,,,
3,PMMA-50-.1,3.28,12.6,92.71,2.54,,,,,,,,,,,,,
4,PMMA-50-1.0,3.2,12.62,87.86,25.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force,,4,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,44.2,1.8657,1.8758,,,,,,,,44.2,1.8662,0.9983,,,,,
,44.3,1.87,1.8792,,,,,,,,44.3,1.8703,0.9997,,,,,
,44.4,1.8741,1.8821,,,,,,,,44.4,1.8748,1.002,,,,,
,44.5,1.8786,1.8857,,,,,,,,44.5,1.8789,1.0037,,,,,
,44.6,1.8827,1.8888,,,,,,,,44.6,1.8834,1.0058,,,,,
,44.7,1.8871,1.8918,,,,,,,,44.7,1.8875,1.0076,,,,,
,44.8,1.8908,1.8944,,,,,,,,44.8,1.8919,1.01,,,,,
,44.9,1.8954,1.898,,,,,,,,44.9,1.896,1.0114,,,,,
,45,1.8992,1.9006,,,,,,,,45,1.9002,1.0133,,,,,
,45.1,1.9039,1.9047,,,,,,,,45.1,1.9043,1.0156,,,,,
,45.2,1.9076,1.907,,,,,,,,45.2,1.9086,1.0173,,,,,
,45.3,1.9126,1.9112,,,,,,,,45.3,1.9128,1.019,,,,,
,45.4,1.9163,1.9134,,,,,,,,45.4,1.917,1.0206,,,,,
,45.5,1.9209,1.917,,,,,,,,45.5,1.9214,1.0231,,,,,
,45.6,1.9245,1.9192,,,,,,,,45.6,1.9256,1.0252,,,,,
,45.7,1.9295,1.9236,,,,,,,,45.7,1.93,1.0264,,,,,
,45.8,1.933,1.9256,,,,,,,,45.8,1.934,1.0282,,,,,
,45.9,1.9378,1.9293,,,,,,,,45.9,1.9384,1.0306,,,,,
,46,1.9412,1.9312,,,,,,,,46,1.9424,1.0319,,,,,
,46.1,1.9465,1.9359,,,,,,,,46.1,1.9468,1.0337,,,,,
,46.2,1.9498,1.9375,,,,,,,,46.2,1.9507,1.0356,,,,,
,46.3,1.9549,1.9417,,,,,,,,46.3,1.9554,1.0379,,,,,
,46.4,1.9584,1.9439,,,,,,,,46.4,1.9591,1.0388,,,,,
,46.5,1.9634,1.9479,,,,,,,,46.5,1.9638,1.0411,,,,,
,46.6,1.9669,1.9499,,,,,,,,46.6,1.9675,1.0424,,,,,
,46.7,1.972,1.9543,,,,,,,,46.7,1.9724,1.0444,,,,,
,46.8,1.9756,1.9562,,,,,,,,46.8,1.9763,1.0459,,,,,
,46.9,1.9805,1.9602,,,,,,,,46.9,1.981,1.048,,,,,
,47,1.9839,1.9624,,,,,,,,47,1.9846,1.0493,,,,,
,47.1,1.9886,1.9659,,,,,,,,47.1,1.9896,1.0516,,,,,
,47.2,1.9923,1.9684,,,,,,,,47.2,1.9931,1.0525,,,,,
,47.3,1.997,1.9718,,,,,,,,47.3,1.9978,1.0545,,,,,
,47.4,2.0008,1.9741,,,,,,,,47.4,2.0015,1.0561,,,,,
,47.5,2.0055,1.9779,,,,,,,,47.5,2.0062,1.0581,,,,,
,47.6,2.0094,1.9806,,,,,,,,47.6,2.01,1.0594,,,,,
,47.7,2.014,1.9841,,,,,,,,47.7,2.0146,1.0615,,,,,
,47.8,2.0179,1.9866,,,,,,,,47.8,2.0184,1.0631,,,,,
,47.9,2.0224,1.9897,,,,,,,,47.9,2.0233,1.065,,,,,
,48,2.0265,1.9926,,,,,,,,48,2.0271,1.0665,,,,,
,48.1,2.0309,1.9957,,,,,,,,48.1,2.0315,1.0686,,,,,
,48.2,2.0345,1.9978,,,,,,,,48.2,2.0356,1.0699,,,,,
,48.3,2.0392,2.0015,,,,,,,,48.3,2.04,1.0719,,,,,
,48.4,2.0433,2.0043,,,,,,,,48.4,2.0439,1.0729,,,,,
,48.5,2.0477,2.0075,,,,,,,,48.5,2.0483,1.0751,,,,,
,48.6,2.0517,2.01,,,,,,,,48.6,2.0523,1.0767,,,,,
,48.7,2.0563,2.0136,,,,,,,,48.7,2.0567,1.0786,,,,,
,48.8,2.0602,2.0162,,,,,,,,48.8,2.0608,1.0799,,,,,
,48.9,2.065,2.0198,,,,,,,,48.9,2.0653,1.0819,,,,,
,49,2.0685,2.0218,,,,,,,,49,2.0694,1.0832,,,,,
,49.1,2.0736,2.0258,,,,,,,,49.1,2.074,1.085,,,,,
,49.2,2.0773,2.028,,,,,,,,49.2,2.0779,1.0865,,,,,
,49.3,2.0819,2.0316,,,,,,,,49.3,2.0825,1.0884,,,,,
,49.4,2.0854,2.0334,,,,,,,,49.4,2.0865,1.0897,,,,,
,49.5,2.0902,2.0373,,,,,,,,49.5,2.0908,1.0915,,,,,
,49.6,2.094,2.039,,,,,,,,49.6,2.0948,1.0929,,,,,
,49.7,2.0988,2.0429,,,,,,,,49.7,2.0992,1.0942,,,,,
,49.8,2.1022,2.0446,,,,,,,,49.8,2.1031,1.0956,,,,,
,49.9,2.1072,2.0488,,,,,,,,49.9,2.1078,1.0977,,,,,
,50,2.1108,2.0509,,,,,,,,50,2.1114,1.0989,,,,,
,50.1,2.1157,2.0544,,,,,,,,50.1,2.1163,1.1015,,,,,
,50.2,2.1193,2.0566,,,,,,,,50.2,2.1202,1.1023,,,,,
,50.3,2.1243,2.0606,,,,,,,,50.3,2.1248,1.1041,,,,,
,50.4,2.1277,2.0623,,,,,,,,50.4,2.1284,1.1048,,,,,
,50.5,2.1325,2.0659,,,,,,,,50.5,2.1334,1.1069,,,,,
,50.6,2.1363,2.0681,,,,,,,,50.6,2.1368,1.1081,,,,,
,50.7,2.1407,2.0713,,,,,,,,50.7,2.1418,1.1107,,,,,
,50.8,2.1448,2.0738,,,,,,,,50.8,2.1452,1.1107,,,,,
,50.9,2.1493,2.0771,,,,,,,,50.9,2.1502,1.1134,,,,,
,51,2.1533,2.0796,,,,,,,,51,2.1537,1.1143,,,,,
,51.1,2.1579,2.0827,,,,,,,,51.1,2.1586,1.1162,,,,,
,51.2,2.1619,2.0854,,,,,,,,51.2,2.1622,1.1173,,,,,
,51.3,2.1663,2.0882,,,,,,,,51.3,2.1674,1.1196,,,,,
,51.4,2.1707,2.0913,,,,,,,,51.4,2.1708,1.1203,,,,,
,51.5,2.1747,2.0938,,,,,,,,51.5,2.1758,1.1223,,,,,
,51.6,2.179,2.0968,,,,,,,,51.6,2.1793,1.1229,,,,,
,51.7,2.183,2.0992,,,,,,,,51.7,2.1842,1.1252,,,,,
,51.8,2.1874,2.1025,,,,,,,,51.8,2.1879,1.1261,,,,,
,51.9,2.1914,2.1045,,,,,,,,51.9,2.1924,1.1279,,,,,
,52,2.1958,2.1077,,,,,,,,52,2.1962,1.1289,,,,,
,52.1,2.1998,2.1102,,,,,,,,52.1,2.2009,1.1309,,,,,
,52.2,2.2046,2.1137,,,,,,,,52.2,2.2047,1.1318,,,,,
,52.3,2.2084,2.116,,,,,,,,52.3,2.2091,1.1333,,,,,
,52.4,2.2128,2.1187,,,,,,,,52.4,2.2135,1.1349,,,,,
,52.5,2.217,2.1214,,,,,,,,52.5,2.2179,1.1365,,,,,
,52.6,2.2213,2.1243,,,,,,,,52.6,2.2217,1.1378,,,,,
,52.7,2.2253,2.1272,,,,,,,,52.7,2.2262,1.1394,,,,,
,52.8,2.2297,2.1298,,,,,,,,52.8,2.2303,1.1407,,,,,
,52.9,2.2337,2.1324,,,,,,,,52.9,2.2346,1.142,,,,,
,53,2.2381,2.1352,,,,,,,,53,2.2386,1.1437,,,,,
,53.1,2.2422,2.1378,,,,,,,,53.1,2.2429,1.1452,,,,,
,53.2,2.2465,2.1406,,,,,,,,53.2,2.2473,1.1465,,,,,
,53.3,2.2509,2.1438,,,,,,,,53.3,2.2514,1.1477,,,,,
,53.4,2.2551,2.1463,,,,,,,,53.4,2.2556,1.1493,,,,,
,53.5,2.2594,2.1491,,,,,,,,53.5,2.2599,1.1507,,,,,
,53.6,2.2636,2.1518,,,,,,,,53.6,2.2642,1.1519,,,,,
,53.7,2.2679,2.1549,,,,,,,,53.7,2.2687,1.1539,,,,,
,53.8,2.2721,2.1573,,,,,,,,53.8,2.2726,1.1549,,,,,
,53.9,2.2764,2.1602,,,,,,,,53.9,2.2772,1.1564,,,,,
,54,2.2804,2.1626,,,,,,,,54,2.2812,1.1575,,,,,
,54.1,2.2847,2.1653,,,,,,,,54.1,2.2857,1.1591,,,,,
,54.2,2.2888,2.1679,,,,,,,,54.2,2.2893,1.1595,,,,,
,54.3,2.293,2.1705,,,,,,,,54.3,2.294,1.1615,,,,,
,54.4,2.2976,2.1734,,,,,,,,54.4,2.2978,1.1625,,,,,
,54.5,2.3017,2.1761,,,,,,,,54.5,2.3024,1.164,,,,,
,54.6,2.306,2.1789,,,,,,,,54.6,2.3062,1.1645,,,,,
,54.7,2.31,2.1813,,,,,,,,54.7,2.3111,1.167,,,,,
,54.8,2.3145,2.1842,,,,,,,,54.8,2.3149,1.168,,,,,
,54.9,2.3185,2.1865,,,,,,,,54.9,2.3196,1.1692,,,,,
,55,2.323,2.1897,,,,,,,,55,2.3233,1.17,,,,,
,55.1,2.3267,2.1917,,,,,,,,55.1,2.328,1.1719,,,,,
,55.2,2.3315,2.1951,,,,,,,,55.2,2.3317,1.1725,,,,,
,55.3,2.3352,2.1971,,,,,,,,55.3,2.3364,1.1742,,,,,
,55.4,2.3399,2.2003,,,,,,,,55.4,2.3402,1.175,,,,,
,55.5,2.3436,2.2021,,,,,,,,55.5,2.3447,1.1772,,,,,
,55.6,2.3486,2.206,,,,,,,,55.6,2.3486,1.1777,,,,,
,55.7,2.3523,2.2077,,,,,,,,55.7,2.3531,1.1791,,,,,
,55.8,2.3571,2.211,,,,,,,,55.8,2.3572,1.1798,,,,,
,55.9,2.3606,2.2127,,,,,,,,55.9,2.3617,1.1813,,,,,
,56,2.3658,2.2165,,,,,,,,56,2.366,1.1828,,,,,
,56.1,2.3693,2.2181,,,,,,,,56.1,2.3701,1.1842,,,,,
,56.2,2.374,2.2214,,,,,,,,56.2,2.3745,1.1853,,,,,
,56.3,2.3775,2.2231,,,,,,,,56.3,2.3785,1.1858,,,,,
,56.4,2.3823,2.2265,,,,,,,,56.4,2.383,1.1879,,,,,
,56.5,2.3859,2.2282,,,,,,,,56.5,2.3869,1.1884,,,,,
,56.6,2.3908,2.2315,,,,,,,,56.6,2.3913,1.1897,,,,,
,56.7,2.3944,2.2334,,,,,,,,56.7,2.3951,1.1905,,,,,
,56.8,2.3995,2.2371,,,,,,,,56.8,2.3997,1.1921,,,,,
,56.9,2.4032,2.239,,,,,,,,56.9,2.4036,1.1928,,,,,
,57,2.4077,2.2419,,,,,,,,57,2.4086,1.1945,,,,,
,57.1,2.4115,2.2438,,,,,,,,57.1,2.4122,1.1954,,,,,
,57.2,2.4162,2.2473,,,,,,,,57.2,2.4168,1.1967,,,,,
,57.3,2.42,2.2491,,,,,,,,57.3,2.4206,1.1975,,,,,
,57.4,2.4246,2.2519,,,,,,,,57.4,2.4253,1.1988,,,,,
,57.5,2.4284,2.2541,,,,,,,,57.5,2.4291,1.1998,,,,,
,57.6,2.433,2.2572,,,,,,,,57.6,2.4337,1.2009,,,,,
,57.7,2.4369,2.2593,,,,,,,,57.7,2.4374,1.2018,,,,,
,57.8,2.4414,2.2622,,,,,,,,57.8,2.4422,1.2033,,,,,
,57.9,2.4455,2.2646,,,,,,,,57.9,2.4459,1.2042,,,,,
,58,2.45,2.2674,,,,,,,,58,2.4505,1.2058,,,,,
,58.1,2.454,2.2694,,,,,,,,58.1,2.4546,1.2064,,,,,
,58.2,2.4586,2.2725,,,,,,,,58.2,2.4591,1.2075,,,,,
,58.3,2.4626,2.2744,,,,,,,,58.3,2.4632,1.2089,,,,,
,58.4,2.4671,2.2774,,,,,,,,58.4,2.4676,1.2098,,,,,
,58.5,2.4709,2.2792,,,,,,,,58.5,2.4717,1.2105,,,,,
,58.6,2.4753,2.2822,,,,,,,,58.6,2.4762,1.2119,,,,,
,58.7,2.4792,2.2841,,,,,,,,58.7,2.4802,1.2128,,,,,
,58.8,2.4838,2.2869,,,,,,,,58.8,2.4843,1.2136,,,,,
,58.9,2.4876,2.2889,,,,,,,,58.9,2.4885,1.2145,,,,,
,59,2.4924,2.2923,,,,,,,,59,2.4928,1.2158,,,,,
,59.1,2.4963,2.2941,,,,,,,,59.1,2.4968,1.2165,,,,,
,59.2,2.5009,2.2971,,,,,,,,59.2,2.5014,1.2176,,,,,
,59.3,2.5046,2.2989,,,,,,,,59.3,2.5056,1.2185,,,,,
,59.4,2.5094,2.302,,,,,,,,59.4,2.5099,1.2201,,,,,
,59.5,2.5131,2.3039,,,,,,,,59.5,2.5139,1.2203,,,,,
,59.6,2.5178,2.3069,,,,,,,,59.6,2.5183,1.2215,,,,,
,59.7,2.5213,2.3085,,,,,,,,59.7,2.5224,1.2224,,,,,
,59.8,2.5262,2.3117,,,,,,,,59.8,2.5269,1.2231,,,,,
,59.9,2.5299,2.3132,,,,,,,,59.9,2.5305,1.2239,,,,,
,60,2.5347,2.3166,,,,,,,,60,2.5353,1.2254,,,,,
,60.1,2.5384,2.3183,,,,,,,,60.1,2.5391,1.2259,,,,,
,60.2,2.5434,2.3217,,,,,,,,60.2,2.5438,1.2274,,,,,
,60.3,2.5468,2.323,,,,,,,,60.3,2.5475,1.2278,,,,,
,60.4,2.5519,2.3261,,,,,,,,60.4,2.5525,1.229,,,,,
,60.5,2.5555,2.328,,,,,,,,60.5,2.5561,1.2294,,,,,
,60.6,2.5603,2.3311,,,,,,,,60.6,2.561,1.2311,,,,,
,60.7,2.5641,2.3329,,,,,,,,60.7,2.5644,1.2311,,,,,
,60.8,2.5685,2.3356,,,,,,,,60.8,2.5698,1.2322,,,,,
,60.9,2.5723,2.3371,,,,,,,,60.9,2.5732,1.2329,,,,,
,61,2.577,2.3401,,,,,,,,61,2.5779,1.2343,,,,,
,61.1,2.5807,2.342,,,,,,,,61.1,2.5812,1.2345,,,,,
,61.2,2.5853,2.3446,,,,,,,,61.2,2.5863,1.2362,,,,,
,61.3,2.5895,2.3469,,,,,,,,61.3,2.5897,1.2362,,,,,
,61.4,2.5939,2.3494,,,,,,,,61.4,2.5947,1.238,,,,,
,61.5,2.598,2.3516,,,,,,,,61.5,2.5983,1.2382,,,,,
,61.6,2.6023,2.354,,,,,,,,61.6,2.6033,1.2399,,,,,
,61.7,2.6065,2.3563,,,,,,,,61.7,2.6069,1.2403,,,,,
,61.8,2.6107,2.3586,,,,,,,,61.8,2.6117,1.2416,,,,,
,61.9,2.6148,2.3609,,,,,,,,61.9,2.6153,1.2419,,,,,
,62,2.6189,2.363,,,,,,,,62,2.6202,1.2435,,,,,
,62.1,2.6234,2.3656,,,,,,,,62.1,2.6238,1.2438,,,,,
,62.2,2.6274,2.3673,,,,,,,,62.2,2.6283,1.2447,,,,,
,62.3,2.6318,2.3697,,,,,,,,62.3,2.6322,1.2454,,,,,
,62.4,2.636,2.3721,,,,,,,,62.4,2.6368,1.2467,,,,,
,62.5,2.6404,2.3744,,,,,,,,62.5,2.6408,1.2471,,,,,
,62.6,2.6446,2.3769,,,,,,,,62.6,2.6453,1.2481,,,,,
,62.7,2.6489,2.3789,,,,,,,,62.7,2.6494,1.2491,,,,,
,62.8,2.6531,2.3812,,,,,,,,62.8,2.6538,1.25,,,,,
,62.9,2.6575,2.3835,,,,,,,,62.9,2.658,1.2506,,,,,
,63,2.6616,2.3857,,,,,,,,63,2.6623,1.251,,,,,
,63.1,2.6655,2.3876,,,,,,,,63.1,2.6666,1.2522,,,,,
,63.2,2.6699,2.3899,,,,,,,,63.2,2.6707,1.253,,,,,
,63.3,2.6741,2.3919,,,,,,,,63.3,2.6748,1.2536,,,,,
,63.4,2.6784,2.3947,,,,,,,,63.4,2.679,1.2545,,,,,
,63.5,2.6826,2.3965,,,,,,,,63.5,2.6832,1.2552,,,,,
,63.6,2.687,2.3992,,,,,,,,63.6,2.6875,1.2562,,,,,
,63.7,2.6911,2.4012,,,,,,,,63.7,2.6916,1.2564,,,,,
,63.8,2.6955,2.4038,,,,,,,,63.8,2.6961,1.2577,,,,,
,63.9,2.6994,2.4054,,,,,,,,63.9,2.7003,1.2583,,,,,
,64,2.704,2.4082,,,,,,,,64,2.7046,1.2593,,,,,
,64.1,2.708,2.4103,,,,,,,,64.1,2.7085,1.2598,,,,,
,64.2,2.7123,2.4122,,,,,,,,64.2,2.7132,1.2611,,,,,
,64.3,2.7163,2.4142,,,,,,,,64.3,2.7171,1.2614,,,,,
,64.4,2.7207,2.4166,,,,,,,,64.4,2.7214,1.2625,,,,,
,64.5,2.7248,2.4187,,,,,,,,64.5,2.7253,1.2629,,,,,
,64.6,2.7292,2.421,,,,,,,,64.6,2.7299,1.2645,,,,,
,64.7,2.7334,2.4235,,,,,,,,64.7,2.7338,1.2643,,,,,
,64.8,2.7377,2.4256,,,,,,,,64.8,2.7384,1.2654,,,,,
,64.9,2.7421,2.4281,,,,,,,,64.9,2.7423,1.2658,,,,,
,65,2.7461,2.4295,,,,,,,,65,2.747,1.2672,,,,,
,65.1,2.7508,2.4326,,,,,,,,65.1,2.7509,1.2674,,,,,
,65.2,2.7547,2.4341,,,,,,,,65.2,2.7556,1.2682,,,,,
,65.3,2.7591,2.4366,,,,,,,,65.3,2.7594,1.2682,,,,,
,65.4,2.7628,2.438,,,,,,,,65.4,2.7642,1.2698,,,,,
,65.5,2.7675,2.4409,,,,,,,,65.5,2.7679,1.2698,,,,,
,65.6,2.7712,2.4424,,,,,,,,65.6,2.7723,1.2702,,,,,
,65.7,2.776,2.4454,,,,,,,,65.7,2.7762,1.2711,,,,,
,65.8,2.7797,2.4466,,,,,,,,65.8,2.7807,1.2722,,,,,
,65.9,2.7847,2.4499,,,,,,,,65.9,2.7847,1.273,,,,,
,66,2.7883,2.4509,,,,,,,,66,2.7891,1.2734,,,,,
,66.1,2.793,2.4538,,,,,,,,66.1,2.7934,1.2741,,,,,
,66.2,2.7967,2.4553,,,,,,,,66.2,2.7976,1.2746,,,,,
,66.3,2.8016,2.4582,,,,,,,,66.3,2.8019,1.2752,,,,,
,66.4,2.8051,2.4594,,,,,,,,66.4,2.806,1.2762,,,,,
,66.5,2.8098,2.4623,,,,,,,,66.5,2.8105,1.2772,,,,,
,66.6,2.8135,2.4635,,,,,,,,66.6,2.8145,1.2774,,,,,
,66.7,2.8183,2.4666,,,,,,,,66.7,2.8187,1.278,,,,,
,66.8,2.8221,2.4678,,,,,,,,66.8,2.8227,1.2788,,,,,
,66.9,2.8268,2.4705,,,,,,,,66.9,2.8274,1.2795,,,,,
,67,2.8306,2.4726,,,,,,,,67,2.8312,1.2795,,,,,
,67.1,2.8353,2.4749,,,,,,,,67.1,2.8358,1.2805,,,,,
,67.2,2.8391,2.4766,,,,,,,,67.2,2.8397,1.2809,,,,,
,67.3,2.8437,2.479,,,,,,,,67.3,2.8444,1.2816,,,,,
,67.4,2.8479,2.4812,,,,,,,,67.4,2.8484,1.2819,,,,,
,67.5,2.8523,2.4833,,,,,,,,67.5,2.8528,1.2829,,,,,
,67.6,2.8561,2.4849,,,,,,,,67.6,2.8569,1.2832,,,,,
,67.7,2.8605,2.4871,,,,,,,,67.7,2.8615,1.2836,,,,,
,67.8,2.8645,2.489,,,,,,,,67.8,2.8653,1.2848,,,,,
,67.9,2.8689,2.4913,,,,,,,,67.9,2.8697,1.2852,,,,,
,68,2.873,2.4932,,,,,,,,68,2.8736,1.2855,,,,,
,68.1,2.8775,2.4956,,,,,,,,68.1,2.8781,1.2859,,,,,
,68.2,2.8816,2.4977,,,,,,,,68.2,2.8821,1.2868,,,,,
,68.3,2.8859,2.4996,,,,,,,,68.3,2.8865,1.2873,,,,,
,68.4,2.89,2.5014,,,,,,,,68.4,2.8906,1.288,,,,,
,68.5,2.8945,2.5036,,,,,,,,68.5,2.8951,1.2884,,,,,
,68.6,2.8985,2.5056,,,,,,,,68.6,2.8993,1.289,,,,,
,68.7,2.9029,2.5077,,,,,,,,68.7,2.9034,1.2893,,,,,
,68.8,2.9067,2.5092,,,,,,,,68.8,2.9079,1.29,,,,,
,68.9,2.9113,2.5116,,,,,,,,68.9,2.9119,1.2901,,,,,
,69,2.9153,2.5133,,,,,,,,69,2.9161,1.2909,,,,,
,69.1,2.9199,2.5159,,,,,,,,69.1,2.9203,1.2911,,,,,
,69.2,2.9236,2.5172,,,,,,,,69.2,2.9245,1.2919,,,,,
,69.3,2.9285,2.5197,,,,,,,,69.3,2.9288,1.2918,,,,,
,69.4,2.9322,2.521,,,,,,,,69.4,2.933,1.2924,,,,,
,69.5,2.9371,2.5237,,,,,,,,69.5,2.9373,1.2928,,,,,
,69.6,2.9406,2.5251,,,,,,,,69.6,2.9416,1.294,,,,,
,69.7,2.9458,2.5281,,,,,,,,69.7,2.9459,1.2947,,,,,
,69.8,2.9492,2.5289,,,,,,,,69.8,2.95,1.2943,,,,,
,69.9,2.954,2.5318,,,,,,,,69.9,2.9546,1.2951,,,,,
,70,2.9573,2.5327,,,,,,,,70,2.9585,1.2952,,,,,
,70.1,2.9624,2.5355,,,,,,,,70.1,2.9629,1.2967,,,,,
,70.2,2.9659,2.5364,,,,,,,,70.2,2.9668,1.2963,,,,,
,70.3,2.9709,2.5393,,,,,,,,70.3,2.9713,1.2968,,,,,
,70.4,2.9743,2.5402,,,,,,,,70.4,2.9751,1.2966,,,,,
,70.5,2.9794,2.5433,,,,,,,,70.5,2.9799,1.2979,,,,,
,70.6,2.983,2.5443,,,,,,,,70.6,2.9835,1.2976,,,,,
,70.7,2.9878,2.5468,,,,,,,,70.7,2.9885,1.2986,,,,,
,70.8,2.9915,2.5484,,,,,,,,70.8,2.9921,1.2987,,,,,
,70.9,2.9963,2.5506,,,,,,,,70.9,2.9969,1.2995,,,,,
,71,2.9998,2.5517,,,,,,,,71,3.0004,1.2998,,,,,
,71.1,3.0045,2.5539,,,,,,,,71.1,3.0056,1.3,,,,,
,71.2,3.0084,2.5555,,,,,,,,71.2,3.0089,1.3,,,,,
,71.3,3.0129,2.5578,,,,,,,,71.3,3.0138,1.301,,,,,
,71.4,3.0169,2.5594,,,,,,,,71.4,3.0172,1.3001,,,,,
,71.5,3.0213,2.5614,,,,,,,,71.5,3.0223,1.3017,,,,,
,71.6,3.0255,2.5631,,,,,,,,71.6,3.0259,1.3016,,,,,
,71.7,3.03,2.5654,,,,,,,,71.7,3.0307,1.3027,,,,,
,71.8,3.034,2.5668,,,,,,,,71.8,3.0344,1.3023,,,,,
,71.9,3.0384,2.5688,,,,,,,,71.9,3.0393,1.3033,,,,,
,72,3.0427,2.5708,,,,,,,,72,3.0429,1.3035,,,,,
,72.1,3.0468,2.5724,,,,,,,,72.1,3.0478,1.3039,,,,,
,72.2,3.0509,2.5743,,,,,,,,72.2,3.0516,1.3038,,,,,
,72.3,3.0551,2.5762,,,,,,,,72.3,3.0562,1.3049,,,,,
,72.4,3.0594,2.5779,,,,,,,,72.4,3.0599,1.305,,,,,
,72.5,3.0635,2.5796,,,,,,,,72.5,3.0644,1.3053,,,,,
,72.6,3.0678,2.5815,,,,,,,,72.6,3.0684,1.3057,,,,,
,72.7,3.0719,2.5831,,,,,,,,72.7,3.0729,1.3063,,,,,
,72.8,3.0766,2.5855,,,,,,,,72.8,3.0768,1.3061,,,,,
,72.9,3.0806,2.5872,,,,,,,,72.9,3.0813,1.307,,,,,
,73,3.0847,2.5886,,,,,,,,73,3.0855,1.307,,,,,
,73.1,3.0892,2.591,,,,,,,,73.1,3.0899,1.3076,,,,,
,73.2,3.0932,2.5925,,,,,,,,73.2,3.0939,1.3075,,,,,
,73.3,3.0975,2.5943,,,,,,,,73.3,3.0983,1.3081,,,,,
,73.4,3.1015,2.5956,,,,,,,,73.4,3.1024,1.3082,,,,,
,73.5,3.106,2.5979,,,,,,,,73.5,3.1067,1.3086,,,,,
,73.6,3.1101,2.5995,,,,,,,,73.6,3.1106,1.3088,,,,,
,73.7,3.1145,2.6016,,,,,,,,73.7,3.1151,1.3095,,,,,
,73.8,3.1184,2.6028,,,,,,,,73.8,3.1192,1.3092,,,,,
,73.9,3.1231,2.6053,,,,,,,,73.9,3.1237,1.3097,,,,,
,74,3.1271,2.6067,,,,,,,,74,3.1275,1.3103,,,,,
,74.1,3.1316,2.609,,,,,,,,74.1,3.1323,1.3113,,,,,
,74.2,3.1355,2.6103,,,,,,,,74.2,3.1361,1.3111,,,,,
,74.3,3.1401,2.6123,,,,,,,,74.3,3.1409,1.3123,,,,,
,74.4,3.1441,2.6139,,,,,,,,74.4,3.1445,1.3117,,,,,
,74.5,3.1485,2.6157,,,,,,,,74.5,3.1496,1.3127,,,,,
,74.6,3.1524,2.6172,,,,,,,,74.6,3.1531,1.3126,,,,,
,74.7,3.1567,2.6193,,,,,,,,74.7,3.1578,1.3131,,,,,
,74.8,3.1609,2.6207,,,,,,,,74.8,3.1613,1.3129,,,,,
,74.9,3.1651,2.6226,,,,,,,,74.9,3.1662,1.3141,,,,,
,75,3.1696,2.6245,,,,,,,,75,3.1698,1.3137,,,,,
,75.1,3.1738,2.626,,,,,,,,75.1,3.1746,1.3143,,,,,
,75.2,3.1782,2.6282,,,,,,,,75.2,3.1782,1.3142,,,,,
,75.3,3.1821,2.6295,,,,,,,,75.3,3.1832,1.3152,,,,,
,75.4,3.1866,2.6316,,,,,,,,75.4,3.187,1.3155,,,,,
,75.5,3.1905,2.6325,,,,,,,,75.5,3.1916,1.3159,,,,,
,75.6,3.195,2.6348,,,,,,,,75.6,3.1953,1.3156,,,,,
,75.7,3.1988,2.6361,,,,,,,,75.7,3.2001,1.3161,,,,,
,75.8,3.2036,2.6384,,,,,,,,75.8,3.2037,1.3163,,,,,
,75.9,3.2073,2.6392,,,,,,,,75.9,3.2083,1.317,,,,,
,76,3.2119,2.6417,,,,,,,,76,3.2122,1.3172,,,,,
,76.1,3.2157,2.6425,,,,,,,,76.1,3.2167,1.3177,,,,,
,76.2,3.2207,2.6453,,,,,,,,76.2,3.2209,1.318,,,,,
,76.3,3.2244,2.6464,,,,,,,,76.3,3.2251,1.3192,,,,,
,76.4,3.2291,2.6486,,,,,,,,76.4,3.2295,1.3188,,,,,
,76.5,3.2328,2.6498,,,,,,,,76.5,3.2337,1.319,,,,,
,76.6,3.2377,2.6522,,,,,,,,76.6,3.238,1.3193,,,,,
,76.7,3.2413,2.653,,,,,,,,76.7,3.2422,1.3197,,,,,
,76.8,3.2459,2.6553,,,,,,,,76.8,3.2466,1.32,,,,,
,76.9,3.2497,2.656,,,,,,,,76.9,3.2505,1.3198,,,,,
,77,3.2543,2.6582,,,,,,,,77,3.2549,1.3203,,,,,
,77.1,3.2582,2.6593,,,,,,,,77.1,3.2588,1.3208,,,,,
,77.2,3.2627,2.6613,,,,,,,,77.2,3.2634,1.3213,,,,,
,77.3,3.2667,2.6626,,,,,,,,77.3,3.2674,1.3215,,,,,
,77.4,3.2715,2.6649,,,,,,,,77.4,3.2718,1.3221,,,,,
,77.5,3.2753,2.6658,,,,,,,,77.5,3.2757,1.3221,,,,,
,77.6,3.2797,2.6676,,,,,,,,77.6,3.2806,1.3232,,,,,
,77.7,3.2838,2.6692,,,,,,,,77.7,3.2844,1.3233,,,,,
